                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     81,                 1.0337,                0.74242,                 1.2668,                0.86494,                0.78529,                0.87948,                0.53254,                 1.3555,                0.86069,                 1.4832,               0.002179,               0.002179,               0.002179
                     82,                 1.0481,                0.73858,                 1.2757,                0.87998,                0.77734,                0.87037,                0.52405,                 1.3929,                0.87653,                 1.4995,                0.00208,                0.00208,                0.00208
                     83,                 1.0551,                0.74917,                 1.2769,                0.90585,                0.76511,                0.87448,                0.53813,                 1.3689,                0.86592,                 1.4875,               0.001981,               0.001981,               0.001981
                     84,                 1.0243,                0.73875,                 1.2615,                0.85516,                0.76342,                0.87157,                0.54129,                   1.35,                0.86371,                  1.462,               0.001882,               0.001882,               0.001882
                     85,                 1.0136,                 0.7191,                 1.2543,                  0.863,                0.79722,                0.88107,                0.54492,                 1.3502,                0.84058,                 1.4687,               0.001783,               0.001783,               0.001783
                     86,                 1.0225,                0.73127,                 1.2703,                0.88977,                0.77336,                0.87521,                0.54556,                 1.3299,                0.85035,                 1.4577,               0.001684,               0.001684,               0.001684
                     87,                 1.0115,                0.72173,                 1.2414,                0.88568,                0.78552,                0.87705,                0.53663,                 1.3529,                0.85359,                 1.4794,               0.001585,               0.001585,               0.001585
                     88,                 1.0255,                0.72395,                 1.2589,                0.89742,                0.76143,                0.87693,                0.53865,                 1.3464,                0.85133,                 1.4742,               0.001486,               0.001486,               0.001486
                     89,                 1.0128,                0.71252,                 1.2416,                0.86141,                0.79084,                0.88047,                0.53985,                  1.347,                0.84255,                 1.4702,               0.001387,               0.001387,               0.001387
                     90,                 1.0178,                0.71285,                  1.241,                0.86871,                0.79523,                0.88337,                0.54444,                 1.3404,                0.85337,                 1.4634,               0.001288,               0.001288,               0.001288
                     91,                0.95375,                0.67336,                 1.1899,                0.84679,                0.77734,                0.86102,                0.53244,                 1.3937,                0.95284,                 1.4889,               0.001189,               0.001189,               0.001189
                     92,                0.89557,                0.61541,                 1.1502,                0.88759,                0.75349,                0.87402,                0.54202,                 1.3593,                0.88493,                 1.4849,                0.00109,                0.00109,                0.00109
                     93,                0.90838,                0.61217,                 1.1728,                0.83193,                0.82306,                0.88011,                0.54518,                 1.3451,                0.84378,                 1.4841,               0.000991,               0.000991,               0.000991
                     94,                0.89967,                0.60703,                 1.1588,                0.86531,                0.79324,                0.87644,                0.53703,                 1.3522,                0.85568,                 1.4841,               0.000892,               0.000892,               0.000892
                     95,                0.89855,                0.61153,                  1.149,                0.86524,                0.79324,                0.88116,                0.54169,                 1.3438,                0.84285,                 1.4844,               0.000793,               0.000793,               0.000793
                     96,                0.88373,                0.60748,                 1.1518,                0.85219,                0.82527,                0.88467,                0.54335,                 1.3462,                0.84762,                 1.4906,               0.000694,               0.000694,               0.000694
                     97,                0.86782,                0.59268,                 1.1467,                0.84617,                 0.8171,                 0.8832,                 0.5408,                 1.3549,                0.84999,                 1.4971,               0.000595,               0.000595,               0.000595
                     98,                0.87364,                0.60042,                 1.1437,                0.88104,                0.79722,                0.88495,                0.54249,                 1.3617,                0.84362,                 1.4928,               0.000496,               0.000496,               0.000496
                     99,                0.86739,                0.58602,                 1.1304,                 0.8706,                0.80517,                0.88512,                0.54259,                 1.3441,                0.83391,                  1.492,               0.000397,               0.000397,               0.000397
                    100,                 0.8537,                0.58346,                 1.1378,                 0.8539,                0.81335,                0.87958,                0.54131,                 1.3429,                0.83877,                 1.4847,               0.000298,               0.000298,               0.000298
